AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,103503,____ _____,,1035,___ ______,Chom Thong,10,_____________,Bangkok,13.672,100.468
4,140901,_. ____,Phachi,1409,_. ____,Phachi,14,_. _______________,Phra Nakhon Si Ayutthaya,14.442,100.725
4,120103,_. ______,Bang Khen,1201,_. ____________,Mueang Nonthaburi,12,_. _______,Nonthaburi,13.835,100.516
4,700104,_. __________,Nong Klang Na,7001,_. ____________,Mueang Ratchaburi,70,_. _______,Ratchaburi,13.593,99.796
4,940912,_. ______,Pulakong,9409,_. _______,Yaring,94,_. _______,Pattani,6.769,101.391
4,170503,_. ________,Wihan Khao,1705,_. _______,Tha Chang,17,_. _________,Sing Buri,14.801,100.409
4,450615,_. _______,Kho Yai,4506,_. ______,Phanom Phrai,45,_. ________,Roi Et,15.600,104.139
4,150406,_. _______,Bang Rakam,1504,_. ________,Pho Thong,15,_. _______,Ang Thong,14.691,100.428
4,150108,_. _______,Ban It,1501,_. ____________,Mueang Ang Thong,15,_. _______,Ang Thong,14.583,100.476
4,160602,_. ________,Ban Sai,1606,_. ________,Ban Mi,16,_. ______,Lop Buri,15.034,100.582
4,900203,_. _______,Sanam Chai,9002,_. _______,Sathing Phra,90,_. _____,Songkhla,7.547,100.417
4,140815,_. _______,Na Khok,1408,_. ______,Phak Hai,14,_. _______________,Phra Nakhon Si Ayutthaya,14.490,100.351
4,140404,_. ________,Ban Paeng,1404,_. ______,Bang Sai,14,_. _______________,Phra Nakhon Si Ayutthaya,14.232,100.507
4,901509,_. ______,Hua Khao,9015,_. _______,Singhanakhon,90,_. _____,Songkhla,7.214,100.567
4,341901,_. _____,Phibun,3419,_. _____________,Phibun Mangsahan,34,_. ___________,Ubon Ratchathani,15.248,105.226
4,841708,_. ______,Phunphin,8417,_. ______,Phunphin,84,_. ____________,Surat Thani,9.125,99.199
4,650114,_. ________,Ban Khlong,6501,_. _____________,Mueang Phitsanulok,65,_. ________,Phitsanulok,16.830,100.239
4,760110,_. ______,Bang Chak,7601,_. _____________,Mueang Phetchaburi,76,_. ________,Phetchaburi,13.158,99.891
4,102601,____ ______,,1026,___ ______,Din Daeng,10,_____________,Bangkok,13.778,100.567
4,141203,_. ________,Chao Chet,1412,_. ____,Sena,14,_. _______________,Phra Nakhon Si Ayutthaya,14.303,100.378
4,140608,_. _____,Wat Yom,1406,_. ________,Bang Pa-in,14,_. _______________,Phra Nakhon Si Ayutthaya,14.260,100.568
4,140710,_. ______,Thap Nam,1407,_. ________,Bang Pahan,14,_. _______________,Phra Nakhon Si Ayutthaya,14.464,100.508
4,300105,_. ______,Maroeng,3001,_. _______________,Mueang Nakhon Ratchasima,30,_. __________,Nakhon Ratchasima,14.980,102.164
4,140310,_. ________,Khlong Sakae,1403,_. _______,Nakhon Luang,14,_. _______________,Phra Nakhon Si Ayutthaya,14.424,100.604
4,540404,_. ______,Don Mun,5404,_. _______,Sung Men,54,_. ____,Phrae,18.067,100.126
4,140113,_. ______,Han Tra,1401,_. _______________,Phra Nakhon Si Ayutthaya,14,_. _______________,Phra Nakhon Si Ayutthaya,14.371,100.600
4,140308,_. _____,Mae La,1403,_. _______,Nakhon Luang,14,_. _______________,Phra Nakhon Si Ayutthaya,14.503,100.619
4,640704,_. ___________,Wang Phin Phat,6407,_. ________,Sawankhalok,64,_. _______,Sukhothai,17.335,99.815
4,140115,_. ________,Ban Mai,1401,_. _______________,Phra Nakhon Si Ayutthaya,14,_. _______________,Phra Nakhon Si Ayutthaya,14.390,100.521
4,730606,_. _______,Sam Phran,7306,_. _______,Sam Phran,73,_. ______,Nakhon Pathom,13.716,100.219
4,501905,_. ______,Khua Mung,5019,_. _____,Saraphi,50,_. _________,Chiang Mai,18.678,98.991
4,800101,_. _______,Nai Mueang,8001,_. __________________,Mueang Nakhon Si Thammarat,80,_. _____________,Nakhon Si Thammarat,8.408,99.972
4,730112,_. _______,Wang Taku,7301,_. ___________,mueang Nakhon Pathom,73,_. ______,Nakhon Pathom,13.857,100.014
4,140503,_. _______,Sai Noi,1405,_. ______,Bang Ban,14,_. _______________,Phra Nakhon Si Ayutthaya,14.407,100.486
4,760116,_. _____,Pho Phra,7601,_. _____________,Mueang Phetchaburi,76,_. ________,Phetchaburi,13.082,100.039
4,501505,_. _____,Khun Khong,5015,_. _____,Hang Dong,50,_. _________,Chiang Mai,18.673,98.956
4,141204,_. _____,Sam Ko,1412,_. ____,Sena,14,_. _______________,Phra Nakhon Si Ayutthaya,14.306,100.399
4,730304,_. _________,Tha Tamnak,7303,_. _________,Nakhon Chai Si,73,_. ______,Nakhon Pathom,13.766,100.180
4,150103,_. _______,Sala Daeng,1501,_. ____________,Mueang Ang Thong,15,_. _______,Ang Thong,14.599,100.445
4,480506,_. ______,Saen Phan,4805,_. _______,That Phanom,48,_. ______,Nakhon Phanom,17.066,104.749
4,140514,_. ______,Bang Hak,1405,_. ______,Bang Ban,14,_. _______________,Phra Nakhon Si Ayutthaya,14.436,100.439
4,480101,_. _______,Nai Mueang,4801,_. ___________,Mueang Nakhon Phanom,48,_. ______,Nakhon Phanom,17.409,104.781
